sigla_uf,id_municipio,municipio,tecnologia,capacidade_backhaul
SP,3526605,Lavrinhas,Fibra + SDH-NG,8
SP,3527256,Lourdes,Fibra + SDH-NG,8
SP,3527504,Lucianópolis,Radio + Fibra + SDH-NG,8
SP,3527603,Luís Antônio,Fibra + SDH-NG,8
SP,3527702,Luiziânia,Fibra + SDH-NG,8
SP,3527801,Lupércio,Radio + Fibra + SDH-NG,8
SP,3527900,Lutécia,Radio + Fibra + SDH-NG,8
SP,3528205,Macedônia,Fibra + SDH-NG,8
SP,3528304,Magda,Fibra + SDH-NG,8
SP,3528601,Manduri,Fibra + SDH-NG,8
SP,3528700,Marabá Paulista,Radio + Fibra + SDH-NG,8
SP,3528858,Marapoama,Fibra + SDH-NG,8
SP,3528908,Mariápolis,Fibra + SDH-NG,8
SP,3529104,Marinópolis,Fibra + SDH-NG,8
SP,3529500,Mendonça,Radio + Fibra + SDH-NG,8
SP,3529609,Meridiano,Fibra + SDH-NG,8
SP,3529658,Mesópolis,Radio + Fibra + SDH-NG,8
SP,3530003,Mira Estrela,Radio + Fibra + SDH-NG,8
SP,3530409,Mirassolândia,Fibra + SDH-NG,8
SP,3530904,Mombuca,Fibra + SDH-NG,8
SP,3531001,Monções,Radio + Fibra + SDH-NG,8
SP,3531605,Monte Castelo,Fibra + SDH-NG,8
SP,3531704,Monteiro Lobato,Radio + Fibra + SDH-NG,8
SP,3532058,Motuca,Radio + Fibra + SDH-NG,8
SP,3532108,Murutinga do Sul,Fibra + SDH-NG,8
SP,3532157,Nantes,Radio + Fibra + SDH-NG,8
SP,3532207,Narandiba,Radio + Fibra + SDH-NG,8
SP,3532306,Natividade da Serra,Radio + Fibra + SDH-NG,8
SP,3532504,Neves Paulista,Fibra + SDH-NG,8
SP,3532702,Nipoã,Fibra + SDH-NG,8
SP,3532801,Nova Aliança,Fibra + SDH-NG,8
SP,3532827,Nova Campina,Radio + Fibra + SDH-NG,8
SP,3532843,Nova Canaã Paulista,Radio + Fibra + SDH-NG,8
SP,3532868,Nova Castilho,Radio + Fibra + SDH-NG,8
SP,3532900,Nova Europa,Fibra + SDH-NG,8
SP,3533106,Nova Guataporanga,Fibra + SDH-NG,8
SP,3533205,Nova Independência,Radio + Fibra + SDH-NG,8
SP,3533254,Novais,Radio + Fibra + SDH-NG,8
SP,3533304,Nova Luzitânia,Fibra + SDH-NG,8
SP,3533700,Ocauçu,Fibra + SDH-NG,8
SP,3533809,Óleo,Fibra + SDH-NG,8
SP,3534005,Onda Verde,Radio + Fibra + SDH-NG,8
SP,3534104,Oriente,Fibra + SDH-NG,8
SP,3534203,Orindiúva,Radio + Fibra + SDH-NG,8
SP,3534500,Oscar Bressane,Radio + Fibra + SDH-NG,8
SP,3534757,Ouroeste,Radio + Fibra + SDH-NG,8
SP,3534807,Ouro Verde,Fibra + SDH-NG,8
SP,3535101,Palmares Paulista,Fibra + SDH-NG,8
SP,3535705,Paraíso,Fibra + SDH-NG,8
SP,3535903,Paranapuã,Radio + Fibra + SDH-NG,8
SP,3536109,Pardinho,Radio + Fibra + SDH-NG,8
SP,3536257,Parisi,Fibra + SDH-NG,8
SP,3536307,Patrocínio Paulista,Radio + Fibra + SDH-NG,8
SP,3536406,Paulicéia,Fibra + SDH-NG,8
SP,3536570,Paulistânia,Radio + Fibra + SDH-NG,8
SP,3536604,Paulo de Faria,Radio + Fibra + SDH-NG,8
SP,3536802,Pedra Bela,Fibra + SDH-NG,8
SP,3536901,Pedranópolis,Fibra + SDH-NG,8
SP,3537008,Pedregulho,Fibra + SDH-NG,8
SP,3537156,Pedrinhas Paulista,Fibra + SDH-NG,8
SP,3537503,Pereiras,Fibra + SDH-NG,8
SP,3537701,Piacatu,Fibra + SDH-NG,8
SP,3538303,Piquerobi,Fibra + SDH-NG,8
SP,3539608,Planalto,Radio + Fibra + SDH-NG,8
SP,3539707,Platina,Radio + Fibra + SDH-NG,8
SP,3539905,Poloni,Fibra + SDH-NG,8
SP,3540101,Pongaí,Fibra + SDH-NG,8
SP,3540259,Pontalinda,Radio + Fibra + SDH-NG,8
SP,3540309,Pontes Gestal,Radio + Fibra + SDH-NG,8
SP,3540408,Populina,Radio + Fibra + SDH-NG,8
SP,3540507,Porangaba,Radio + Fibra + SDH-NG,8
SP,3540853,Pracinha,Radio + Fibra + SDH-NG,8
SP,3541059,Pratânia,Fibra + SDH-NG,8
